words,definition
entry controlled loop,"<p>Vòng lặp (loop) mà điều kiện (condition) được kiểm tra trước khi thực thi thân của vòng lặp được gọi là entry controlled loop. Ví dụ như vòng lặp while (while loop), vòng lặp for (for loop). Xem thêm exit controlled loop.</p>"
loop control statement,<span> Câu lệnh điều khiển vòng lặp</span>
code size,<span> Kích thước mã</span>
loop unrolling,<p>Loop unrolling là một kỹ thuật biến đổi vòng lặp (loop transformation) giúp tối ưu hóa thời gian thực thi ( execution time) của chương trình. Về cơ bản chúng ta loại bỏ hoặc giảm số lần lặp lại (iteration). Loop unrolling làm tăng tốc độ của chương trình bằng cách loại bỏ lệnh điều khiển vòng lặp và lệnh kiểm tra vòng lặp.</p>
code bloat,"<p>Code bloat là một vấn đề trong phát triển phần mềm khi độ dài của mã nguồn (source code) được cho là quá dài. Thuật ngữ này thường đề cập đến độ dài của chính mã nguồn, nhưng cũng có thể được áp dụng cho kích thước của các file thực thi được tạo bởi trình biên dịch nếu sử dụng ngôn ngữ biên dịch (compiled language) như C. Mã dài, không rõ ràng có thể khó đọc và khó bảo trì. Các chương trình quá lớn chạy chậm. Một trong những nguyên nhân gây ra code bloat là loop unrolling. Giải pháp đơn giản đối với code bloat là sử dụng lại các thư viện (library).</p>"
sloppy code,"<p>Sloppy code thường được sử dụng để mô tả khi một đoạn code không thể mở rộng hoặc linh hoạt. Nó có thể hoạt động ngay bây giờ, nhưng khi cố gắng thêm hoặc bớt một cái gì đó và nó sẽ không hoạt động. Nếu bạn là người mới bắt đầu, đừng lo lắng về việc có sloppy code. Nếu bạn là người mới, code của bạn SẼ sloppy code. Khi bạn tiến bộ và học hỏi, code của bạn sẽ trở nên sạch hơn và hiệu quả hơn.</p>"
bad code,<p>Bad code là khi một lập trình viên thực hiện chương trình để hoàn thành công việc nhanh hơn mà không suy nghĩ nhiều về những thay đổi trong tương lai và bỏ qua khả năng các lập trình viên khác xem / cập nhật code của họ. Đây là một số lý do có thể dẫn đến bad code:</p>
bloater,"<p>Bloater là mã, phương thức (method) và lớp (class) đã tăng lên đến mức độ khổng lồ mà chúng rất khó làm việc. Thông thường những nó không xuất hiện ngay lập tức, thay vào đó chúng tích tụ theo thời gian khi chương trình phát triển (và đặc biệt là khi không ai cố gắng loại bỏ chúng).</p>"
monolithic application,<span> Ứng dụng nguyên khối</span>
dirty code,"<p>Dirty code là mã phần mềm đã có nhiều editor với các style xung đột, khiến nó gần như không thể bảo trì được.</p>"
magic number,"<p>Thuật ngữ magic number hoặc magic constant đề cập đến anti-pattern của việc sử dụng các số trực tiếp trong mã nguồn (source code). Ví dụ một thuật toán liên quan đến chơi bài có thể thường xuyên sử dụng magic constant là 52, do đó tốt hơn là chúng ta thay thế số 52 thành một hằng số được đặt tên để làm cho chương trình dễ đọc dễ hiểu và dễ bảo trì (maintain) giả sử như hằng số NUMBER_OF_CARD = 52</p>"
magic number,"<p>Magic number là một giá trị không đổi được sử dụng để xác định một định dạng file, giao thức (protocol) hoặc mã lỗi. Trong nhiều định dạng file, một vài byte đầu tiên xác định file; ví dụ: ""PK"" trong file ZIP và giá trị hex ""F8 D8"" trong file JPEG.</p>"
refused bequest,"<p>Bạn có một lớp con (subclass), kế thừa từ lớp cha (parent class), nhưng lớp con không cần tất cả các hành vi do lớp cha cung cấp. Do đó, lớp con từ chối một số hành vi (bequest) của lớp cha.</p>"
data clump,<p>Đôi khi các phần khác nhau của code chứa các nhóm biến giống hệt nhau (chẳng hạn như các tham số để kết nối với cơ sở dữ liệu). Nhóm các biến này được gọi là data clump. Nhóm các biến này nên được chuyển thành các lớp (class) riêng của chúng. Ví dụ trong đoạn code Java bên dưới:</p>
data class,<p>Data class đề cập đến một lớp (class) chỉ chứa các trường (field) và các phương thức thô để truy cập chúng (getter và setter). Đây chỉ đơn giản là các container cho dữ liệu được sử dụng bởi các lớp khác. Các lớp này không chứa bất kỳ chức năng bổ sung nào và không thể hoạt động độc lập trên dữ liệu mà chúng sở hữu.</p>
code smell,"<p>Thuật ngữ code smell lần đầu tiên được giới thiệu bởi Kent Back, một Kỹ sư phần mềm người Mỹ và là người tạo ra extreme programming. Khi chúng tôi làm việc trên một ứng dụng và viết mã cho nó, chúng tôi thấy một số pattern cần được cấu trúc lại (refactor). Những pattern đó trùng lặp hoặc phức tạp hoặc có thể làm cho code phụ thuộc vào code khác. Những pattern như vậy được gọi là code smell  và việc phát hiện mã như vậy được gọi là code smelling.</p>"
god object,<span> Đối tượng thượng đế</span>
antipattern,<p>Antipattern là giải pháp phổ biến cho các vấn đề chung mà giải pháp đó không hiệu quả và có thể dẫn đến hậu quả không mong muốn. Antipattern khác với bad practice khi:</p>
workaround,<span> Giải pháp thay thế</span>
correlated subquery,<span> Truy vấn con tương quan</span>
outer query,<p>Outer query là truy vấn (query) chứa truy vấn con (subquery).</p>
subquery,<span> Truy vấn con</span>
membership,<span> Thành viên</span>
IP canonicalization,<p>IP canonicalization là quá trình chuyển hướng địa chỉ IP đến tên miền (domain name). Điều này cũng giống như URL canonicalization hoặc WWW Resolve và nó ngăn website của bạn bị đánh dấu là nội dung trùng lặp (duplicate content).</p>
canonicalization,<p>Canonicalization là quá trình chọn URL tốt nhất khi có một số lựa chọn. Ví dụ: hầu hết mọi người sẽ coi đây là những url giống nhau: www.example.com example.com/ www.example.com/index.html example.com/home.asp</p>
non-associative,"<p>Non-associative nghĩa là các toán tử (operator) không thể được kết hợp với các toán tử khác có cùng ưu tiên. Ví dụ biểu thức a ~ b ~ c, nếu toán tử là non-associative thì biểu thức có thể gây ra lỗi cú pháp (syntax error).</p>"
right-associative,"<p>Right-associative nghĩa là các toán tử (operator) có cùng độ ưu tiên (precedence) được đánh giá theo thứ tự từ phải sang trái. Với biểu thức a ~ b ~ c,  nếu toán tử là right-associative thì biểu thức sẽ được hiểu là a ~ (b ~ c). Ví dụ với code bên dưới:</p>"
left-associative,"<p>Left-associative nghĩa là các toán tử (operator) có cùng độ ưu tiên (precedence) được đánh giá theo thứ tự từ trái sang phải. Ví dụ: phép cộng và phép trừ có cùng độ ưu tiên và chúng là left-associative. Trong biểu thức 10 -  4 + 2, phép trừ được thực hiện trước vì nó nằm ở bên trái của phép cộng, tạo ra giá trị là 8. Nó tương đương như (10 - 4) + 2. Xem thêm right-associative.</p>"
associativity,<span> Tính liên kết</span>
ambiguous,<span> Mơ hồ</span>
right recursive grammar,<span> Văn phạm đệ quy phải</span>
right recursive production,<span> Văn phạm đệ quy phải</span>
left recursive grammar,<span> Văn phạm đệ quy trái</span>
left recursive production,<span> Luật sinh đệ quy trái</span>
sentence,<span> Câu </span>
sentential form,"<p>Trong automata, nếu một cây dẫn xuất một phần (partial derivation tree) có chứa nút gốc (root node) S, nó được gọi là một sentential form.</p>"
partial derivation tree,<span> Cây dẫn xuất một phần</span>
parse tree,"<p>Cây phân tích cú pháp (parse tree) cho thấy một cách tượng hình cách ký hiệu xuất phát (start symbol) của một văn phạm (grammar) dẫn xuất một chuỗi (string) trong ngôn ngữ (language). Nếu ký hiệu không kết thúc (nonterminal ) A có một luật sinh A → X Y Z, thì cây phân tích cú pháp (parse tree) có thể có một nút trong (internal node) có nhãn A với ba nút con (child node) có nhãn X, Y và Z, từ trái sang phải:</p>"
trail,"<p>Trong lý thuyết đồ thị (graph theory), một trail là một walk không có các cạnh (edge) lặp lại.</p>"
hierarchical data,<span> Dữ liệu phân cấp</span>
proper descendent,"<p>Trong lý thuyết đồ thị (graph theory), proper descendent của nút (node) n là bất kỳ nút nào y mà n là ancestor của y và y không phải là cùng nút với nút n.</p>"
proper ancestor,"<p>Trong lý thuyết đồ thị (graph theory), proper ancestor của nút (node) n là bất kỳ nút y nào sao cho nút y là ancestor của nút n và y không phải là cùng nút với nút n.</p>"
degree of tree,<span> Bậc của cây</span>
size of a tree,<span> Kích thước của cây</span>
root node,<span> Nút gốc</span>
handshake,<span> Bắt tay</span>
three-way handshake,<span> Bắt tay 3 bước</span>
SYN packet,"<p>Synchronize packet hoặc SYN packet là gói tin đầu tiên được gửi qua mạng khi thiết lập kết nối TCP. Ví dụ: khi máy khác (client) yêu cầu kết nối máy chủ (server), gói tin đầu tiên mà máy khác gửi tới máy chủ là SYN packet. Xem thêm thuật ngữ SYN để hiểu rõ hơn.</p>"
SYN,"<p>SYN viết tắt của synchronize, SYN là một gói tin TCP được gửi đến một máy tính khác yêu cầu thiết lập kết nối giữa chúng. Nếu SYN được nhận bởi máy thứ hai, một SYN / ACK sẽ được gửi trở lại địa chỉ mà SYN yêu cầu. Cuối cùng nếu máy tính gốc nhận được SYN / ACK, thì ACK cuối cùng sẽ được gửi.</p>"
blocking,"<p>Blocking đề cập đến việc ngăn chặn tác vụ / hoạt động / lệnh tiếp theo thực thi cho đến khi tác vụ / hoạt động / lệnh hiện tại kết thúc. Blocking được thực thi đồng bộ (synchronous). Chúng ta lấy một phép loại suy như sau giả sử bạn có hai tác vụ là nấu nước và chơi game. Nếu tác vụ nấu nước là blocking thì bạn sẽ bạn sẽ chuẩn bị bếp gas, nồi, nước sau đó đun nước, điểm mấu chốt ở đây là bạn phải đợi đến khi nước sôi thì mới chơi game. Do đó chúng ta nói tác vụ nấu nước chặn việc thực thi của tác vụ chơi game. Đối lập với  blocking là non-blocking.</p>"
non-blocking,"<p>Non-blocking đề cập đến chương trình không chặn việc thực thi các hoạt động / tác vụ / lệnh tiếp theo. Các tác vụ / hoạt động / lệnh non-blocking được thực thi không đồng bộ (asynchronous). Chúng ta lấy một phép loại suy như sau giả sử bạn có hai tác vụ là nấu nước và chơi game. Nếu tác vụ nấu nước là non-blocking thì bạn sẽ bạn sẽ chuẩn bị bếp gas, nồi, nước sau đó đun nước, điểm mấu chốt ở đây là bạn không đợi đến khi nước sôi mới chơi game mà bạn sẽ chơi game trong khi đang đun nước. Do đó chúng ta nói nấu nước không chặn việc thực thi của chơi game. Đối lập với non-blocking là blocking.</p>"
independent task,<span> Tác vụ độc lập</span>
asynchronous programming,<span> Lập trình bất đồng bộ</span>
synchronous,<p>Đồng bộ (synchronous) có nghĩa là chương trình được thực thi từng dòng code một. Xem hoạt động đồng bộ (synchronous operation) để hiểu rõ thuật ngữ đồng bộ (synchronous).</p>
synchronous operation,<span> Hoạt động đồng bộ</span>
asynchronous,<span> Không đồng bộ</span>
asynchronous operation,<span> Hoạt động không đồng bộ</span>
transpiler,"<p>Transpiler là phần mềm chuyển đổi mã nguồn (source code) của một ngôn ngữ lập trình này thành mã nguồn của ngôn ngữ lập trình khác. Ví dụ CoffeeScript, Caffeine, Kaffeine và hơn hai chục ngôn ngữ khác được chuyển đổi thành JavaScript.</p>"
proposal,"<p>Sự phát triển JavaScript được thông qua bởi hội đồng TC39. Thành viên từ nhóm này có thể đề xuất proposal để cải thiện hay thêm một số tính năng cho ngôn ngữ này. Proposal là một văn bản đặc tả viết bằng ngôn ngữ học thuật, mô tả những tính năng mới và cách áp dụng trong JavaScript.</p>"
Vanilla JavaScript,"<p>Vanilla JavaScript là một thuật ngữ mà các nhà phát triển (developer) sử dụng để mô tả JavaScript thông thường. Nó có nghĩa là sử dụng các phương thức (method) và đối tượng (object) của JavaScript có sẵn mà không có bất kỳ thư viện (library) hoặc framework bổ sung nào. Do đó, mã Vanilla JavaScript sẽ hoạt động ngay lập tức. Không cần phải tải xuống hoặc thêm một thư viện bên ngoài để nó hoạt động. Xem thêm thuật ngữ vanilla.</p>"
XMLHttpRequest,"<p>XMLHttpRequest viết tắt là XHR, XMLHttpRequest là một tập hợp các API có thể được sử dụng bởi các ngôn ngữ kịch bản (scripting language) của trình duyệt Web, chẳng hạn như JavaScript để truyền  XML, HTML, JSON hoặc văn bản thuần túy (plain text) đến và đi từ một máy chủ Web (Web server) bằng giao thức HTTP. XMLHttpRequest hoạt động bằng cách thiết lập kênh giao tiếp (communication channel) giữa phía máy khách và phía máy chủ của trang Web. Ví dụ về các ứng dụng sử dụng XMLHttpRequest bao gồm Google Gmail và Google Maps.</p>"
Fetch API,"<p>Fetch API là một API đơn giản cho việc gửi và nhận request bằng js. Với fetch thì việc thực hiện các yêu cầu web và xử lý phản hồi dễ dàng hơn so với XMLHttpRequest cũ, nó khá tương đồng với XMLHttpRequest nhưng cải tiến hơn và được xây dựng dựa trên ECMAScript 2015 Promises.</p>"
WebSocket,<p>WebSocket là một giao thức (protocol) truyền thông hai chiều (bidirectional communication) có thể gửi dữ liệu từ máy khách (client) đến máy chủ (server) hoặc từ máy chủ đến máy khách bằng cách sử dụng lại kênh (chanel) kết nối đã thiết lập. Kết nối (connection) vẫn tồn tại cho đến khi máy khách hoặc máy chủ chấm dứt.</p>
HTTP error,"<p>HTTP error là một số lỗi thường gặp với web services và server trả về các error cùng với các mã số quen thuộc như: 500 (server error), 404 (not found), 403 (forbidden), …</p>"
JavaScript specification,"<p>JavaScript specification là bản mô tả chức năng cho ECMAScript. Trong mỗi ấn bản này, người ta định nghĩa các tính năng của ngôn ngữ lập trình ECMAScript theo một cách viết rất hàn lâm, với hàng đống những thuật ngữ khoa học. Loại tài liệu academic này chắc chắn không hợp khẩu vị của đa số JavaScript developer, nhưng lại rất quan trọng đối với các nhóm phát triển web browser và JavaScript engine. Họ sẽ tham khảo đặc tả và lần lượt tích hợp chức năng vào sản phẩm của họ.</p>"
ES6,"<p>ES6 viết tắt của ECMAScript 2015, phiên bản thứ 6 của JavaScript. Từ năm 2015, JavaScript committee quyết định sẽ cho ra mắt các tính năng mới hằng năm. Từ đó, ECMAScript 2016, ECMAScript 2017, ECMAScript 2018 lần lượt ra đời.</p>"
JavaScript engine,"<p>JavaScript engine là một phần của browser và có khả năng biên dịch (compile) và phiên dịch (interpret) JavaScript code. JavaScript engine đọc các đoạn code JavaScript rồi chuyển nó sang mã máy để máy tính (hoặc phần mềm máy tính như trình duyệt web, server node.js…) có thể hiểu và chạy được.</p>"
internal node,<span> Node trong</span>
rightmost derivation,<span> Dẫn xuất phải nhất</span>
leftmost derivation,<span> Dẫn xuất trái nhất</span>
derivation,<span> Dẫn xuất</span>
derivation,<span> Dẫn xuất</span>
right-hand-side,<p>Với luật sinh (production rule) u→v thì v được gọi là right-hand-side.</p>
right side,<p>Với luật sinh (production rule) u→v thì v được gọi là right side.</p>
left-hand side,<p>Với luật sinh (production rule) u→v thì u được gọi là left-hand side.</p>
left side,<p>Với luật sinh (production rule) u→v thì u được gọi là left side.</p>
context-free grammar,<span> Văn phạm phi ngữ cảnh</span>
start symbol,"<span> Ký hiệu xuất phát,  tiên đề </span>"
nonterminal,<span> Ký hiệu không kết thúc</span>
grammar,<span> Văn phạm</span>
lexeme,"<p>Khi nói về trình biên dịch (complier), lexeme là một chuỗi các ký tự trong chương trình nguồn khớp  (match) với pattern cho một token  và được bộ phân tích từ vựng (lexical analyzer) xác định là một phiên bản (instance) của token đó. Ví dụ chương trình chứa câu lệnh gán như:</p>"
semantic,"<p>Ngữ nghĩa (semantic) của ngôn ngữ lập trình nghĩa là mỗi chương trình của ngôn ngữ đó sẽ làm gì khi chương trình thực thi.</p>"
aggregate function,<span> Hàm tổng hợp</span>
unknown,<p>SQL coi kết quả của bất kỳ phép toán so sánh nào liên quan đến giá trị null là unknown (ngoại trừ các vị từ IS NULL và IS NOT NULL.</p>
set operation,<span> Phép toán tập hợp</span>
row constructor,"<p>SQL cho phép chúng ta sử dụng ký hiệu (v1, v2,…, vn) để biểu thị một tuple có arity là n chứa các giá trị v1, v2,…, vn; ký hiệu đó được gọi là row constructor. </p>"
row constructor,"<p>Với SQL server 2008, tính năng mới đã được giới thiệu trong đó là chèn nhiều hàng (row) bằng cách viết một câu lệnh INSERT duy nhất và nó được gọi là row constructor. Nó tiết kiệm rất nhiều thời gian khi chúng ta chèn nhiều bản ghi (record) vào một bảng (table).</p>"
attribute specification,"<p>Trong SQL, attribute specification là việc chọn ra các thuộc tính (attribute) trong mệnh đề SELECT được thực hiện bằng cách sử dụng biểu tượng dấu hoa thị ""*"" trong mệnh đề SELECT để biểu thị ""tất cả các thuộc tính"" hoặc chỉ định từng thuộc tính riêng rẻ. Xem ví dụ bên dưới sử dụng dấu hoa thị ""*"":</p>"
pattern character,"<p>Trong SQL, pattern character đồng nghĩa với ký tự đại diện (wildcard character) thường được sử dụng sau mệnh đề LIKE. Ví dụ các pattern character như %, _.</p>"
correlation name,"<p>Trong SQL, giả sử chúng ta có truy vấn như thế này:</p>"
data driven progamming,<p>Data driven progamming là một mô hình lập trình ( programming model) trong đó dữ liệu tự điều khiển luồng (flow) của chương trình chứ không phải logic của chương trình. Đây là một mô hình mà bạn kiểm soát luồng bằng cách cung cấp các bộ dữ liệu khác nhau cho chương trình.</p>
data point,<span> Điểm dữ liệu</span>
data point,<span> Điểm dữ liệu</span>
expansion pack,<span> Gói mở rộng</span>
standalone program,<span> Chương trình độc lập</span>
standalone,<span> Độc lập</span>
standalone device,<span> Thiết bị độc lập</span>
video capture card,<p>Video capture card là thiết bị phần cứng lấy tín hiệu video truyền qua mạng hoặc từ VCR và chuyển đổi nó thành định dạng kỹ thuật số (digital format) chẳng hạn như MP4 để xem và chỉnh sửa sau này.</p>
capture device,<p>Capture device (còn được gọi là capture card) là một thiết bị phần cứng mà bạn kết nối với máy tính của mình để chuyển đổi tín hiệu video từ đầu ra của máy ảnh thành định dạng kỹ thuật số mà máy tính của bạn có thể nhận dạng.</p>
audio capture,<p>Audio capture đề cập đến việc ghi lại âm thanh analog (analog audio).</p>
display screen,<span> Màn hình hiển thị</span>
screen capture,<span> Chụp màn hình</span>
video capture,<p>Video capture đề cập đến việc lưu trữ hình ảnh video trong máy tính.</p>
capture,"<p>Trong máy tính, thuật ngữ capture đề cập đến việc thu thập thông tin và đưa nó vào thiết bị lưu trữ để sử dụng trong tương lai. Ví dụ: khi văn bản được được cắt hoặc sao chép, nó sẽ được capture và đặt trong clipboard, cho phép người dùng dán thông tin vào nơi khác. Xem thêm video capture, screen capture và audio capture.</p>"
capture,<p>Capture đề cập đến việc nhận thông tin mà người dùng đã nhập. Ví dụ terminal capture những lệnh (command) mà người dùng đã nhập từ bàn phím để thực thi các lệnh.</p>
capture,"<p>Trong hệ thống bảo mật sinh trắc học, capture là quá trình lấy mẫu sinh trắc học từ người dùng.</p>"
capture,"<p>Trong lập trình máy tính và biểu thức chính quy (regular expression), capture mô tả việc lấy văn bản phù hợp trong dấu ngoặc đơn trong một biểu thức chính quy và lưu trữ nó trong một biến (variable).</p>"
terminal screen,<span> Màn hình terminal </span>
ADT,<p>ADT viết tắt của abstract data type (kiểu dữ liệu trừu tượng).</p>
abstract data type,<span> Kiểu dữ liệu trừu tượng</span>
suptype,"<p>Khi đề cập đến kế thừa (inheritance) trong lập trình hướng đối tượng (object-oriented programming), suptype là lớp cha (parent class) của lớp con (child class).</p>"
subtype,"<p>Khi đề cập đến kế thừa (inheritance) trong lập trình hướng đối tượng (object-oriented programming), subtype là lớp con (child class) kế thừa lớp cha (parent class).</p>"
subtyping,"<p>Một số ngôn ngữ lập trình sử dụng ý tưởng về subtyping  (còn được gọi là subtype polymorphism hoặc inclusion polymorphism) để hạn chế phạm vi kiểu có thể được sử dụng trong một trường hợp đa hình (polymorphism) cụ thể. Trong các ngôn ngữ này, subtyping cho phép một hàm (function) được viết để nhận một đối tượng (object) thuộc kiểu T nhất định, nhưng cũng hoạt động nếu truyền một đối tượng thuộc kiểu S là subtype của T (theo nguyên tắc thay thế Liskov) .</p>"
object-based language,<span> Ngôn ngữ dựa trên đối tượng</span>
built-in data type,<span> Kiểu dữ liệu xây dựng sẵn</span>
range,<span> Phạm vi</span>
type modifier,"<p>Type modifier là những từ khóa (keyword) đặc biệt được định nghĩa trong ngôn ngữ lập trình được sử dụng để sửa đổi các thuộc tính mặc định của kiểu dữ liệu xây dựng sẵn (built-in data type). Cụ thể type modifier là những từ khóa đặc biệt được sử dụng để sửa đổi phạm vi của kiểu dữ liệu và cả không gian bộ nhớ được cấp phát cho biến (variable). Trong C và C ++, có 4 type modifier: signed, unsigned, short, long.</p>"
comparison operator,<span> Toán tử so sánh</span>
logical connective,"<p>Trong SQL, logical connective là and, or và not trong mệnh đề where (where clause).</p>"
pattern-matching predicate,"<p>Trong SQL, pattern-matching predicate là vị từ (predicate) được sử dụng để tìm kiếm một pattern cụ thể trong văn bản, một biểu thức hoặc cột. Các vị từ này bao gồm: LIKE, BEGINNING, ENDING, CONTAINING.</p>"
predicate,<span> Vị từ</span>
clause,<span> Mệnh đề</span>
data definition statement,<span> Lệnh định nghĩa dữ liệu</span>
CRUD,"<p>CRUD là một thuật ngữ được sử dụng phổ biến trong cơ sở dữ liệu (database) được dùng để biểu thị TẠO (CREATE) dữ liệu, ĐỌC (READ) dữ liệu, CẬP NHẬT (UPDATE) dữ liệu và XÓA (DELETE) dữ liệu. Đây là bốn thao tác mà chúng ta thực hiện với các câu lệnh INSERT, SELECT, UPDATE và DELETE.</p>"
data manipulation statement,<span> Lệnh thao tác dữ liệu</span>
scale,"<p>Scale là số chữ số ở bên phải của dấu thập phân trong một số. Ví dụ: số 123,45 có scale là 2.</p>"
precision,<span> Độ chính xác</span>
precision,<span> Độ chính xác</span>
device dependent,<span> Phụ thuộc thiết bị</span>
machine dependent,<span> Phụ thuộc máy</span>
machine dependent,<span> Phụ thuộc máy</span>
fixed-length record,<span> Bản ghi có độ dài cố định</span>
variable-length record,<span> Bản ghi có độ dài thay đổi</span>
fixed length,<span> Độ dài cố định</span>
variable length,"<span> Độ dài thay đổi, độ dài biến đổi</span>"
character varying,<p>Character varying là dạng viết đầy đủ của kiểu dữ liệu varchar.</p>
transaction control,<span> Kiểm soát giao dịch</span>
sample data,<span> Dữ liệu mẫu</span>
populate,<p>Populate dữ liệu có nghĩa là nhập / điền / chèn / import dữ liệu. Một ví dụ phổ biến là thêm (populate dữ liệu vào cơ sở dữ liệu.</p>
relational query language,<span> Ngôn ngữ truy vấn quan hệ</span>
equivalent query,<span> Truy vấn tương đương</span>
rename operation,<span> Phép đối tên</span>
assignment operation,<span> Phép gán</span>
set difference operation,<span> Phép trừ</span>
intersection operation,<span> Phép giao</span>
union operation,<span> Phép toán union</span>
compatible relation,<span> Quan hệ tương thích</span>
arity,"<p>Trong đại số quan hệ (relational algebra), số lượng các thuộc tính (attribute) của một quan hệ (relation) được gọi là arity.</p>"
full outer join,"<p>Trong đại số quan hệ (relational algebra), full outer join là một loại của outer join, trong đó tất cả các tuple từ cả hai quan hệ đều được đưa vào kết quả, bất kể điều kiện so khớp là gì.</p>"
right outer join,"<p>Trong đại số quan hệ (relational algebra), right outer join là một loại của outer join, trong đó phép toán cho phép giữ tất cả các tuple trong quan hệ (relatio) ên phải. Tuy nhiên, nếu không có tuple phù hợp nào được tìm thấy trong quan hệ bên bên trái, thì các thuộc tính (attribute) của quan hệ bên trái trong kết quả join sẽ được thay bằng các giá trị nulll.</p>"
left outer join,"<p>Trong đại số quan hệ (relational algebra), left outer join là một loại outer join, trong đó phép toán cho phép giữ tất cả các tuple trong quan hệ (relation) bên trái. Tuy nhiên, nếu không có tuple phù hợp nào được tìm thấy trong quan hệ bên phải, thì các thuộc tính (attribute) của quan hệ bên phải trong kết quả join sẽ được thay bằng các giá trị nulll.</p>"
outer join,<span> Phép nối ngoài</span>
natural join,<span> Phép nối tự nhiên</span>
equi join,"<p>Trong đại số quan hệ (relational algebra), equi join là một loại của phép nối trong (inner join). Equi join CHỈ có thể sử dụng điều kiện BẰNG trong tiêu chí lựa chọn. Ví dụ: A ⋈ <sub>A.column  =  B.column </sub> (B).</p>"
theta join,"<p>Trong đại số quan hệ (relational algebra), theta join là một loại của phép nối trong (inner join). Theta join có thể sử dụng bất kỳ điều kiện nào trong tiêu chí lựa chọn. Ví dụ: A ⋈ <sub>A.column  &gt;  B.column </sub> (B).</p>"
inner join,<span> Phép nối trong</span>
join operation,"<span> Phép nối, phép kết</span>"
alias,<span> Bí danh</span>
call by name,<span> Gọi theo tên</span>
function composition,<span> Hàm hợp</span>
actual parameter,<span> Tham số thực tế</span>
parameter passing,<span> Truyền đối số</span>
polymorphic method,<p>Polymorphic method là phương thức có nhiều định nghĩa (definition) và có cùng tên phương thức (method) nhưng khác nhau về số lượng tham số (parameter) hoặc / và kiểu dữ liệu của tham số. Ví dụ code Java bên dưới phương thức print là polymorphic method vì cả hai phương thức có cùng tên là print nhưng kiểu dữ liệu tham số cả hai là khác nhau.</p>
definition,<span> Định nghĩa</span>
block-structured language,<span> Ngôn ngữ cấu trúc khối</span>
block structure,<span> Cấu trúc khối</span>
top-level declaration,"<p>Top-level declaration đề cập đến các khai báo (ví dụ khai báo biến, hàm)  không có nằm một code block nào. Nói đơn giản hơn là các khai báo không nằm trong hàm, lớp (class),... Scope của top-level declaration của một biến bao gồm toàn bộ chương trình sau đó, ngoại trừ những câu lệnh nằm trong một hàm cũng có khai báo biến đó. Ví dụ nếu chúng ta khai báo một biến nằm trong một hàm ( nghĩa là biến cục bộ) thì không được coi là top-level declaration, tuy nhiên nếu biến đó được khai báo như biến toàn cục (global variable) thì được coi là top-level declaration.</p>"
explicit,<span> Tường minh</span>
exit point,<span> Điểm thoát</span>
information hiding,<span> Che giấu thông tin</span>
program structure,<span> Cấu trúc chương trình</span>
program unit,"<p>Program unit là một phần cấu thành của một chương trình lớn và nó độc lập. Ví dụ program unit có thể là chương trình con (subprogram), package, v.v.</p>"
dynamic binding,"<p>Trong C++, dynamic binding là một loại binding:</p>"
dynamic binding,"<p>Trong lập trình nói chung, dynamic binding là cơ chế một chương trình máy tính liên kết (bind) tên của một phương thức (method) được gọi với định nghĩa của phương thức đó ở runtime.</p>"
static binding,"<p>Trong C++, static binding là một loại binding:</p>"
static binding,"<p>Trong lập trình nói chung, static binding là cơ chế một chương trình máy tính liên kết (bind) tên của một phương thức (method) được gọi với định nghĩa của phương thức đó ở thời điểm biên dịch (compile time).</p>"
r-value reference,<p> R-value reference là một tham chiếu (reference) bind với một r-value. R-value reference được đánh dấu bằng hai dấu và (&amp;&amp;). Xem ví dụ code bên dưới:</p>
l-value reference,<p>L-value reference là một tham chiếu (reference) bind với một l-value. L-value reference được đánh dấu bằng một dấu và (&amp;). Xem ví dụ code bên dưới:</p>
r-value,"<p>R-value đề cập đến giá trị dữ liệu được lưu trữ tại một số địa chỉ (address) trong bộ nhớ (memory). R-value là một biểu thức (expression) không thể có giá trị được gán cho nó, có nghĩa là r-value có thể xuất hiện ở bên phải nhưng không xuất hiện ở bên trái của toán tử gán (=). Xem ví dụ bên dưới:</p>"
l-value,<p>l-value đề cập đến vị trí bộ nhớ (memory location) xác định một đối tượng. l-value có thể xuất hiện ở bên trái hoặc bên phải của toán tử gán (=). l-value thường biểu diễn dưới dạng identifier.</p>
addition operator,"<p>Trong nhiều ngôn ngữ lập trình (many programming language), addition operator (+=) là một toán tử (operator) có thể được sử dụng như một cách để cộng thêm vào giá trị trước đó. Ví dụ bằng ngôn ngữ C như bên dưới:</p>"
address-of operator,<span> Toán tử địa chỉ</span>
data streaming,"<p>Data streaming là quá trình truyền một luồng dữ liệu liên tục (được gọi stream) với tốc độ cao, ổn định, thường được đưa vào phần mềm xử lý stream để thu được những thông tin chi tiết có giá trị. Một data streaming bao gồm một loạt các phần tử dữ liệu được sắp xếp theo thời gian. Dữ liệu đại diện cho một ""sự kiện"" hoặc một thay đổi về trạng thái đã xảy ra trong doanh nghiệp và hữu ích cho doanh nghiệp để biết và phân tích, thường là trong thời gian thực. Một số ví dụ về data streaming  bao gồm dữ liệu cảm biến, nhật ký hoạt động từ trình duyệt web và nhật ký giao dịch tài chính. Data streaming có thể được hình dung như một băng chuyền vô tận, mang các phần tử dữ liệu và liên tục đưa chúng vào bộ xử lý dữ liệu. </p>"
lightweight protocol,<span> Giao thức nhẹ</span>
